index,category,output_path,original_name,original_size,output_size,has_alpha,alpha_min,alpha_max,source_sha256
99,Lobby_CharacterSelect,Lobby_CharacterSelect/099_character_card_default.png,input_099.png,1122x1402,1074x1325,True,0,255,5874d268941023308408334bbce3911291b44e54ad9e4ce5c1b5e6a85fc4d768
100,Lobby_CharacterSelect,Lobby_CharacterSelect/100_character_card_red.png,input_100.png,1122x1402,853x1210,True,0,255,0e5e2cd5ab6f32da74f13b348f526cd121c307f4c6e17e8f71f9c960fb6380ac
101,Lobby_CharacterSelect,Lobby_CharacterSelect/101_character_card_blue.png,input_101.png,1122x1402,859x1214,True,0,255,afd98754c9b5bedcdb5d17450cb2707238bbe1383ac71cb0d0d751577cc4f11c
102,Lobby_CharacterSelect,Lobby_CharacterSelect/102_lobby_ui_mockup_panel.png,input_102.png,1122x1402,1019x1110,True,0,255,c456fe3bdf4beb1ca43bc531f04f0d8cfb4100a29c111f87a90a2acc328e0187
103,Lobby_CharacterSelect,Lobby_CharacterSelect/103_selection_check_badge.png,input_103.png,1254x1254,996x1001,True,0,255,de564dadb507f5f77545733c0da8938cf7724c1d6667a3454fb9489ea5dd5557
104,Buttons,Buttons/104_ready_button_large_yellow_blank.png,input_104.png,1536x1024,1423x539,True,0,255,956fae8dd8bdcd1016070d6f424ba1070a606b3f60539f3790c29f81ce18cde0
105,Lobby_CharacterSelect,Lobby_CharacterSelect/105_help_bubble_blank.png,input_105.png,1448x1086,1226x791,True,0,255,dce3ff0559f3cd679d8e4fc2537e96d5cd322f70e0adccaeb611464a41ce3362
106,Lobby_CharacterSelect,Lobby_CharacterSelect/106_room_code_top_panel.png,input_106.png,2172x724,1887x527,True,0,255,dc48d97c4c8c26f1a485f515dfb004023f4b1a683fa0bcbc31b066721d59c582
107,Lobby_CharacterSelect,Lobby_CharacterSelect/107_ready_count_top_panel.png,input_107.png,2508x627,2235x363,True,0,255,d297cd25aad94df3ed91656eceba7143360820139d4a30ce776360c817f502c1
108,Lobby_CharacterSelect,Lobby_CharacterSelect/108_lobby_top_message_panel.png,input_108.png,2172x724,1793x463,True,0,255,1210cd23ca221a88ebe542cde477a4d44133caf7b0c9933eb6c129e0ea1741bb
111,Lobby_CharacterSelect,Lobby_CharacterSelect/111_room_code_tag_long_blank.png,input_111.png,2508x627,2236x556,True,0,255,4028d8df3224d15b7f69a7e746a14c526d1ff4b6b613974f2650722feee766a1
112,Lobby_CharacterSelect,Lobby_CharacterSelect/112_lobby_top_banner_blank.png,input_112.png,2508x627,2389x525,True,0,255,dc8b69a47edf867df0b81663b85751bb3676320b3ab09ee25f6abf9a9106890f
113,Lobby_CharacterSelect,Lobby_CharacterSelect/113_lobby_message_tag_long.png,input_113.png,2804x561,2710x416,True,0,255,86ebebdfaa2cc0f5ecae19dc8c866c91ac4349d5c826e451b5a962c65632e351
114,Lobby_CharacterSelect,Lobby_CharacterSelect/114_lobby_notice_panel_blank.png,input_114.png,1448x1086,1359x950,True,0,255,d3e55dda1027ab9e14d55b0e5c2031d46632fb211dc126a4902af6a4c28b4dd3
115,Icons,Icons/115_paw_blue_icon.png,input_115.png,1254x1254,844x758,True,0,255,b62df54b8a6ad8cf10bf848e544fe5cc438e542d2ee6b2e71a360ed9d46443ef
116,Icons,Icons/116_clipboard_icon.png,input_116.png,1254x1254,628x872,True,0,255,a3d958ab4510457f47c85dee82888ea80aa526ef114a7094ff4e9673669ae003
117,Decorations,Decorations/117_blue_tape_piece.png,input_117.png,1536x1024,750x290,True,0,255,1bcc443c7beceb0c0c1fb1604664183fe4e1e23213bccf2aaae29cff800d033c
118,Decorations,Decorations/118_mint_tape_piece.png,input_118.png,1536x1024,897x346,True,0,255,926d5b7174403d0a1d3548cbddd08d34860fad18a923d868085c316e80c6827c
119,Decorations,Decorations/119_gold_paperclip.png,input_119.png,1254x1254,307x1044,True,0,255,b6451db5026841e9b1944925d9da6d5e8b4733d832e6f18f4f7bab19513edf20
120,Icons,Icons/120_heart_bubble.png,input_120.png,1254x1254,768x777,True,0,255,5a95e37d840d6f6a80fc99ac1abccf1c14633a6ddbbb5b0b5e4790cb2eeb099e
121,Decorations,Decorations/121_star_small_yellow.png,input_121.png,1254x1254,502x476,True,0,255,4b0e4c314b7f199cc9e681ebfa69d07319ae36202b0979e660108b456797e0c5
122,Characters,Characters/122_hamster_face_small.png,input_122.png,1254x1254,825x610,True,0,255,912287919e129103e116affb36c6e1ce7f070b84697f20ea999e50543e063682
123,ColorChips,ColorChips/123_colorchip_navy_1f2a44.png,input_123.png,1254x1254,875x889,True,0,255,5b5c67f1085cdbea1e4b938025daa049119bbbeccb2b3dfad1a8b199f752002f
124,ColorChips,ColorChips/124_colorchip_cream_fff7eb.png,input_124.png,1254x1254,876x871,True,0,255,6f182a54a7ef63ee2d44d9f5188a45631ff21e3f69745565cf09275a13cbe4a8
127,ColorChips,ColorChips/127_colorchip_yellow_ffd56a.png,input_127.png,1254x1254,865x885,True,0,255,b67be812bbfef593a2565bcf2763400361b872baedc7a1f0aac3d460bc215516
128,ColorChips,ColorChips/128_colorchip_blue_b8d3f6.png,input_128.png,1254x1254,875x877,True,0,255,60a0b1dc63565e671f450cce5de004e8ee9de553361c09bed07a4faf5dd6ba14
129,ColorChips,ColorChips/129_colorchip_mint_cdebd7.png,input_129.png,1254x1254,884x901,True,0,255,7824482eecbf71ff8dee7eb8b59ebf9abf489400167399f32c3d20587bbc535a
