path,category,old_texture_type,new_texture_type,old_max_size,new_max_size,old_compression,new_compression,action,note
Assets/ProjectONE/UI/Sprites/Panels/042_long_blank_paper_banner_tape.png,Panels,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Panels/046_long_blank_pill_panel.png,Panels,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Panels/047_long_blank_rounded_label.png,Panels,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Panels/066_pinned_note_small.png,Panels,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Panels/068_status_ready_small_panel.png,Panels,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/020_result_card_full_blank.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/038_result_card_blank_alt.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/049_result_card_vertical_blank.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/081_victory_card_blank.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/082_crown_tab_blue.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/084_success_stamp_green.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/090_ranking_row_gold.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/091_ranking_list_board.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/092_ranking_row_gold_paw.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/093_ranking_row_silver_paw.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/094_ranking_row_bronze_paw.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/095_ranking_row_blue.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/096_medal_ribbon_gold.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/097_player_thumbnail_frame.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Result_Ranking/098_ranking_row_blue_profile.png,Result_Ranking,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
